Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss per User,Time Period
China,2019,Phishing,Education,80.53,773169,Hacker Group,Unpatched Software,VPN,63,104.15575378733499,2015-2019
China,2019,Ransomware,Retail,62.19,295961,Hacker Group,Unpatched Software,Firewall,71,210.1290372718027,2015-2019
India,2017,Man-In-The-Middle,IT,38.65,605895,Hacker Group,Weak Passwords,VPN,20,63.78993059853605,2015-2019
Uk,2024,Ransomware,Telecommunications,41.44,659320,Nation-state,Social Engineering,AI-based Detection,7,62.85263604926288,2020-2024
Germany,2018,Man-In-The-Middle,IT,74.41,810682,Insider,Social Engineering,VPN,68,91.78691521459709,2015-2019
Germany,2017,Man-In-The-Middle,Retail,98.24,285201,Unknown,Social Engineering,Antivirus,25,344.4588202706162,2015-2019
Germany,2016,Ddos,Telecommunications,33.26,431262,Insider,Unpatched Software,VPN,34,77.12249166400007,2015-2019
France,2018,Sql Injection,Government,59.23,909991,Unknown,Social Engineering,Antivirus,66,65.08855582088175,2015-2019
India,2016,Man-In-The-Middle,Banking,16.88,698249,Unknown,Social Engineering,VPN,47,24.174757142509335,2015-2019
Uk,2023,Ddos,Healthcare,69.14,685927,Hacker Group,Unpatched Software,Firewall,58,100.79789831862574,2020-2024
China,2019,Phishing,Telecommunications,88.67,493675,Unknown,Zero-day,VPN,29,179.6120929761483,2015-2019
China,2016,Sql Injection,Healthcare,38.81,920768,Hacker Group,Unpatched Software,AI-based Detection,27,42.14959685827483,2015-2019
India,2019,Ransomware,Education,30.56,583204,Insider,Zero-day,Firewall,37,52.40018929911317,2015-2019
France,2023,Ddos,Healthcare,58.37,599797,Nation-state,Unpatched Software,AI-based Detection,35,97.31625866751584,2020-2024
France,2024,Ddos,IT,48.01,922258,Unknown,Social Engineering,Encryption,64,52.057016583212075,2020-2024
Australia,2022,Phishing,Banking,64.31,120789,Nation-state,Zero-day,Encryption,36,532.4160312611248,2020-2024
Russia,2017,Man-In-The-Middle,Healthcare,13.04,850158,Hacker Group,Unpatched Software,AI-based Detection,67,15.338325346582636,2015-2019
India,2015,Ddos,IT,93.14,805278,Insider,Social Engineering,Encryption,56,115.6619204796356,2015-2019
Uk,2019,Malware,Telecommunications,14.01,578443,Insider,Social Engineering,Firewall,28,24.22019109920943,2015-2019
India,2016,Ddos,IT,36.45,261808,Nation-state,Social Engineering,AI-based Detection,6,139.22416427305507,2015-2019
Brazil,2015,Ransomware,Retail,49.55,920172,Hacker Group,Weak Passwords,Antivirus,43,53.84862829992654,2015-2019
France,2023,Ransomware,Education,17.72,261661,Insider,Social Engineering,VPN,11,67.72121179694338,2020-2024
India,2017,Ddos,Government,76.71,246205,Nation-state,Unpatched Software,Firewall,30,311.5696269369022,2015-2019
Japan,2022,Phishing,Telecommunications,20.42,186148,Nation-state,Weak Passwords,Antivirus,32,109.69765992651008,2020-2024
Brazil,2023,Ddos,Telecommunications,51.84,699007,Hacker Group,Social Engineering,VPN,30,74.16234744430314,2020-2024
China,2021,Phishing,Retail,51.06,628562,Insider,Zero-day,AI-based Detection,52,81.23303667736835,2020-2024
Japan,2022,Malware,Education,53.04,570494,Nation-state,Unpatched Software,VPN,53,92.97205579725642,2020-2024
Japan,2022,Ransomware,Banking,26.17,937653,Insider,Unpatched Software,Encryption,24,27.910111736431283,2020-2024
France,2020,Malware,IT,87.32,599757,Unknown,Social Engineering,Antivirus,9,145.59229821411006,2020-2024
Australia,2015,Ddos,Government,82.7,904805,Hacker Group,Zero-day,Encryption,61,91.40090958825382,2015-2019
Uk,2022,Sql Injection,Education,66.24,678876,Hacker Group,Social Engineering,AI-based Detection,11,97.57304721333497,2020-2024
France,2020,Malware,Telecommunications,18.38,246900,Hacker Group,Zero-day,AI-based Detection,34,74.44309437019037,2020-2024
India,2015,Sql Injection,IT,42.99,85255,Unknown,Unpatched Software,Encryption,61,504.25195003225616,2015-2019
Japan,2022,Phishing,Banking,98.47,972469,Nation-state,Zero-day,Antivirus,21,101.25772646737326,2020-2024
Brazil,2023,Phishing,Healthcare,14.51,113777,Nation-state,Weak Passwords,VPN,27,127.53016866326234,2020-2024
Brazil,2020,Phishing,Banking,17.75,739540,Hacker Group,Zero-day,Encryption,31,24.001406279579196,2020-2024
China,2020,Man-In-The-Middle,Education,19.81,722788,Nation-state,Zero-day,Firewall,70,27.40775995174242,2020-2024
Japan,2021,Sql Injection,Retail,82.52,214372,Insider,Unpatched Software,Encryption,12,384.9383314985166,2020-2024
Usa,2022,Ddos,Retail,32.53,235314,Insider,Weak Passwords,AI-based Detection,62,138.240818650824,2020-2024
Brazil,2016,Ddos,Education,96.98,140812,Nation-state,Unpatched Software,VPN,71,688.7197113882339,2015-2019
